Count,Name,Edition,Foil,Collector Number
1,Luminous Angel,mrd,,
1,Molten Rain,mrd,,
1,Honden of Night's Reach,chk,,
1,"Nivix, Aerie of the Firemind",gpt,,
1,Kithkin Rabble,shm,,
1,Burning Inquiry,m10,,
1,Deathless Angel,roe,,
1,Vampire Nighthawk,m13,,
1,Azorius Charm,rtr,,
1,Chromatic Lantern,rtr,,
1,Cremate,rtr,,
1,Crosstown Courier,rtr,,
1,Downsize,rtr,,
1,Druid's Deliverance,rtr,,
1,Electrickery,rtr,,
1,Explosive Impact,rtr,,
1,Hussar Patrol,rtr,,
1,Island,rtr,,258
1,Izzet Charm,rtr,,
1,"Rakdos, Lord of Riots",rtr,,
1,Selesnya Sentry,rtr,,
1,Skull Rend,rtr,,
1,Stonefare Crocodile,rtr,,
1,Syncopate,rtr,,
1,Vraska the Unseen,rtr,,
1,"Exava, Rakdos Blood Witch",dgm,,
1,Congregate,NOT FOUND,foil,
1,Annul,ths,,
1,Baleful Eidolon,ths,,
3,Commune with the Gods,ths,,
5,Dark Betrayal,ths,,
1,Defend the Hearth,ths,,
3,Glare of Heresy,ths,,
1,Kragma Warcaller,ths,,
1,Leafcrown Dryad,ths,,
1,Loathsome Catoblepas,ths,,
2,Nemesis of Mortals,ths,,
1,Nighthowler,ths,,
1,Returned Centaur,ths,,
1,Spear of Heliod,ths,,
3,Tormented Hero,ths,,
1,"Tymaret, the Murder King",ths,,
1,Bile Blight,bng,,
1,Drown in Sorrow,bng,,
1,Graverobber Spider,bng,,
2,Herald of Torment,bng,,
1,Kiora's Follower,bng,,
1,Noble Quarry,bng,,
1,Pain Seer,bng,,
1,Grisly Salvage,f13,foil,11.0
2,Banishing Light,jou,,
4,Brain Maggot,jou,,
1,Dictate of Erebos,jou,,
1,Dictate of Heliod,jou,,
1,Disciple of Deceit,jou,,
1,Doomwake Giant,jou,,
1,Eidolon of Blossoms,jou,,
1,Font of Fertility,jou,,
2,Grim Guardian,jou,,
1,Nyx Infusion,jou,,
3,Nyx Weaver,jou,,
2,Oakheart Dryads,jou,,
1,Reviving Melody,jou,,
1,Silence the Believers,jou,,
1,Pyroclasm,ddk,,
1,Fallen Angel,chr,,
1,Ebon Stronghold,pd3,foil,
1,"Azami, Lady of Scrolls",NOT FOUND,,
1,Khalni Garden,NOT FOUND,,
1,Slippery Karst,NOT FOUND,,
1,Mana Geyser,cns,,
1,Lord of Shatterskull Pass,NOT FOUND,foil,
1,Dictate of the Twin Gods,NOT FOUND,foil,
1,Caves of Koilos,m15,,
2,Evolving Wilds,m15,,
2,Necromancer's Assistant,m15,,
3,Oreskos Swiftclaw,m15,,
1,Plummet,m15,,
4,Satyr Wayfinder,m15,,
1,Scuttling Doom Engine,m15,,
2,Solemn Offering,m15,,
1,Spirit Bonds,m15,,
1,Terra Stomper,m15,,
2,Tormod's Crypt,m15,,
2,Vineweft,m15,,
1,Armageddon,v14,foil,
1,Burning of Xinye,v14,foil,
1,Cataclysm,v14,foil,
1,Child of Alara,v14,foil,
1,Decree of Annihilation,v14,foil,
1,Firespout,v14,foil,
1,Fracturing Gust,v14,foil,
1,Living Death,v14,foil,
1,Martial Coup,v14,foil,
1,Rolling Earthquake,v14,foil,
1,Smokestack,v14,foil,
1,Terminus,v14,foil,
1,Upheaval,v14,foil,
1,Virtue's Ruin,v14,foil,
1,Wrath of God,v14,foil,
1,Act of Treason,ddn,,
2,Aquamorph Entity,ddn,,
1,Arc Trail,ddn,,
1,Arcanis the Omnipotent,ddn,foil,
1,Arrow Volley Trap,ddn,,
1,Banefire,ddn,,
2,Beetleback Chief,ddn,,
1,Bone Splinters,ddn,,
2,Coral Trickster,ddn,,
1,Dauntless Onslaught,ddn,,
2,Dregscape Zombie,ddn,,
1,Echo Tracer,ddn,,
2,Evolving Wilds,ddn,,
2,Faerie Impostor,ddn,,
1,Faerie Invaders,ddn,,
2,Fathom Seer,ddn,,
2,Fiery Fall,ddn,,
1,Flame-Kin Zealot,ddn,,
1,Fleeting Distraction,ddn,,
1,Fleshbag Marauder,ddn,,
1,Frenzied Goblin,ddn,,
1,Fury of the Horde,ddn,,
1,Ghitu Encampment,ddn,,
1,Goblin Bombardment,ddn,,
1,Goblin Deathraiders,ddn,,
1,Goblin Warchief,ddn,,
1,Hellraiser Goblin,ddn,,
1,Hell's Thunder,ddn,,
1,Hold the Line,ddn,,
1,Hussar Patrol,ddn,,
1,Impulse,ddn,,
1,Infantry Veteran,ddn,,
1,Inferno Trap,ddn,,
3,Island,ddn,,75
4,Island,ddn,,77
3,Island,ddn,,76
1,Jeskai Elder,ddn,,
1,Kathari Bomber,ddn,,
1,Kor Hookmaster,ddn,,
1,"Krenko, Mob Boss",ddn,,
2,Krenko's Command,ddn,,
2,Leonin Snarecaster,ddn,,
1,Lightning Angel,ddn,,
1,Lightning Helix,ddn,,
1,Lone Missionary,ddn,,
1,Mana Leak,ddn,,
1,Mardu Heart-Piercer,ddn,,
1,Master Decoy,ddn,,
3,Mountain,ddn,,36
4,Mountain,ddn,,35
3,Mountain,ddn,,37
3,Mountain,ddn,,78
1,Mystic Monastery,ddn,,
2,Nomad Outpost,ddn,,
1,Ogre Battledriver,ddn,,
1,Oni of Wild Places,ddn,,
1,Orcish Cannonade,ddn,,
3,Plains,ddn,,79
2,Plains,ddn,,81
2,Plains,ddn,,80
3,Plains,ddn,,38
1,Reckless Abandon,ddn,,
1,Repeal,ddn,,
1,Scourge Devil,ddn,,
1,Shambling Remains,ddn,,
1,Shock,ddn,,
1,Sparkmage Apprentice,ddn,,
1,Sphinx of Uthuun,ddn,,
1,Stave Off,ddn,,
1,Steam Augury,ddn,,
1,Stonecloaker,ddn,,
2,Swamp,ddn,,39
2,Swamp,ddn,,41
2,Swamp,ddn,,40
1,Swift Justice,ddn,,
2,Terramorphic Expanse,ddn,,
1,Thousand Winds,ddn,,
2,Traumatic Visions,ddn,,
1,Whiplash Trap,ddn,,
1,Willbender,ddn,,
1,Zurgo Helmsmasher,ddn,foil,
1,Bloodsoaked Champion,ktk,,
2,Chief of the Edge,ktk,,
2,Chief of the Scale,ktk,,
1,Dead Drop,ktk,,
1,Debilitating Injury,ktk,,
3,Despise,ktk,,
8,Forest,ktk,,269
1,Herald of Anafenza,ktk,,
5,Island,ktk,,257
1,Kheru Lich Lord,ktk,,
3,Mardu Hateblade,ktk,,
1,Mardu Hordechief,ktk,,
3,Mardu Skullhunter,ktk,,
2,Murderous Cut,ktk,,
1,"Narset, Enlightened Master",ktk,,
1,Naturalize,ktk,,
4,Opulent Palace,ktk,,
2,Plains,ktk,,251
2,Plains,ktk,,252
3,Plains,ktk,,250
3,Plains,ktk,,253
2,Raiders' Spoils,ktk,,
1,Rush of Battle,ktk,,
4,Scoured Barrens,ktk,,
