Count,Name,Edition,Foil,Collector Number
1,Luminous Angel,mrd,,15
1,Molten Rain,mrd,,101
1,Honden of Night's Reach,chk,,116
1,"Nivix, Aerie of the Firemind",gpt,,160
1,Kithkin Rabble,shm,,9
1,Burning Inquiry,m10,,128
1,Deathless Angel,roe,,17
1,Vampire Nighthawk,m13,,112
1,Azorius Charm,rtr,,145
1,Chromatic Lantern,rtr,,226
1,Cremate,rtr,,59
1,Crosstown Courier,rtr,,34
1,Downsize,rtr,,38
1,Druid's Deliverance,rtr,,123
1,Electrickery,rtr,,93
1,Explosive Impact,rtr,,94
1,Hussar Patrol,rtr,,169
1,Island,rtr,,258
1,Izzet Charm,rtr,,172
1,"Rakdos, Lord of Riots",rtr,,187
1,Selesnya Sentry,rtr,,21
1,Skull Rend,rtr,,195
1,Stonefare Crocodile,rtr,,136
1,Syncopate,rtr,,54
1,Vraska the Unseen,rtr,,208
1,"Exava, Rakdos Blood Witch",dgm,,69
1,Congregate,m14,foil,14
1,Annul,ths,,38
1,Baleful Eidolon,ths,,78
3,Commune with the Gods,ths,,155
5,Dark Betrayal,ths,,83
1,Defend the Hearth,ths,,156
3,Glare of Heresy,ths,,15
1,Kragma Warcaller,ths,,195
1,Leafcrown Dryad,ths,,161
1,Loathsome Catoblepas,ths,,95
2,Nemesis of Mortals,ths,,163
1,Nighthowler,ths,,98
1,Returned Centaur,ths,,103
1,Spear of Heliod,ths,,33
3,Tormented Hero,ths,,108
1,"Tymaret, the Murder King",ths,,207
1,Bile Blight,bng,,61
1,Drown in Sorrow,bng,,65
1,Graverobber Spider,bng,,122
2,Herald of Torment,bng,,75
1,Kiora's Follower,bng,,150
1,Noble Quarry,bng,,130
1,Pain Seer,bng,,80
1,Grisly Salvage,f13,foil,11
2,Banishing Light,jou,,5
4,Brain Maggot,jou,,62
1,Dictate of Erebos,jou,,65
1,Dictate of Heliod,jou,,8
1,Disciple of Deceit,jou,,148
1,Doomwake Giant,jou,,66
1,Eidolon of Blossoms,jou,,122
1,Font of Fertility,jou,,123
2,Grim Guardian,jou,,73
1,Nyx Infusion,jou,,77
3,Nyx Weaver,jou,,153
2,Oakheart Dryads,jou,,133
1,Reviving Melody,jou,,138
1,Silence the Believers,jou,,82
1,Pyroclasm,ddk,,62
1,Fallen Angel,chr,,
1,Ebon Stronghold,pd3,foil,25
1,"Azami, Lady of Scrolls",c13,,31
1,Khalni Garden,c13,,302
1,Slippery Karst,c13,,324
1,Mana Geyser,cns,,147
1,Lord of Shatterskull Pass,proe,foil,156★
1,Dictate of the Twin Gods,pjou,foil,93★
1,Caves of Koilos,m15,,241
2,Evolving Wilds,m15,,243
2,Necromancer's Assistant,m15,,107
3,Oreskos Swiftclaw,m15,,22
1,Plummet,m15,,192
4,Satyr Wayfinder,m15,,198
1,Scuttling Doom Engine,m15,,229
2,Solemn Offering,m15,,33
1,Spirit Bonds,m15,,37
1,Terra Stomper,m15,,284
2,Tormod's Crypt,m15,,237
2,Vineweft,m15,,207
1,Armageddon,v14,foil,1
1,Burning of Xinye,v14,foil,2
1,Cataclysm,v14,foil,3
1,Child of Alara,v14,foil,4
1,Decree of Annihilation,v14,foil,5
1,Firespout,v14,foil,6
1,Fracturing Gust,v14,foil,7
1,Living Death,v14,foil,8
1,Martial Coup,v14,foil,9
1,Rolling Earthquake,v14,foil,10
1,Smokestack,v14,foil,11
1,Terminus,v14,foil,12
1,Upheaval,v14,foil,13
1,Virtue's Ruin,v14,foil,14
1,Wrath of God,v14,foil,15
1,Act of Treason,ddn,,26
2,Aquamorph Entity,ddn,,54
1,Arc Trail,ddn,,23
1,Arcanis the Omnipotent,ddn,foil,42
1,Arrow Volley Trap,ddn,,71
1,Banefire,ddn,,31
2,Beetleback Chief,ddn,,14
1,Bone Splinters,ddn,,22
2,Coral Trickster,ddn,,44
1,Dauntless Onslaught,ddn,,27
2,Dregscape Zombie,ddn,,5
1,Echo Tracer,ddn,,51
2,Evolving Wilds,ddn,,32
2,Faerie Impostor,ddn,,43
1,Faerie Invaders,ddn,,57
2,Fathom Seer,ddn,,45
2,Fiery Fall,ddn,,29
1,Flame-Kin Zealot,ddn,,17
1,Fleeting Distraction,ddn,,60
1,Fleshbag Marauder,ddn,,8
1,Frenzied Goblin,ddn,,2
1,Fury of the Horde,ddn,,30
1,Ghitu Encampment,ddn,,33
1,Goblin Bombardment,ddn,,24
1,Goblin Deathraiders,ddn,,6
1,Goblin Warchief,ddn,,9
1,Hellraiser Goblin,ddn,,7
1,Hell's Thunder,ddn,,10
1,Hold the Line,ddn,,66
1,Hussar Patrol,ddn,,55
1,Impulse,ddn,,63
1,Infantry Veteran,ddn,,3
1,Inferno Trap,ddn,,67
3,Island,ddn,,75
4,Island,ddn,,77
3,Island,ddn,,76
1,Jeskai Elder,ddn,,46
1,Kathari Bomber,ddn,,11
1,Kor Hookmaster,ddn,,52
1,"Krenko, Mob Boss",ddn,,15
2,Krenko's Command,ddn,,25
2,Leonin Snarecaster,ddn,,4
1,Lightning Angel,ddn,,56
1,Lightning Helix,ddn,,65
1,Lone Missionary,ddn,,49
1,Mana Leak,ddn,,64
1,Mardu Heart-Piercer,ddn,,13
1,Master Decoy,ddn,,50
3,Mountain,ddn,,36
4,Mountain,ddn,,35
3,Mountain,ddn,,37
3,Mountain,ddn,,78
1,Mystic Monastery,ddn,,73
2,Nomad Outpost,ddn,,34
1,Ogre Battledriver,ddn,,16
1,Oni of Wild Places,ddn,,19
1,Orcish Cannonade,ddn,,28
3,Plains,ddn,,79
